Time,imu_COG_acc_x,imu_COG_acc_y,imu_COG_acc_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,rwa_FM,rwa_RM,veh_u,veh_v
0,0.48863,0.05455,0.05455,0,0,0.00212,0,0,0,0,0.8548,0.8548,1.08386,1.08386,38.8,38.8,30.21053,30.21053,0,0,0,0.00455
0.01,0.48878,0,0,0,0,0,0,0,0,0,0.8548,0.8548,1.08386,1.08386,38.76667,38.76667,30.21053,30.21053,0,0,0,0.00399
0.02,0.51179,0.00759,0.00759,0,0,0.00209,0,0,0,0,0.68384,0.68384,1.08386,1.08386,38.73333,38.73333,30.21053,30.21053,0,0,0,0.00344
0.03,0.5076,0.04656,0.04656,0,0,0.00209,0,0,0,0,0.68384,0.68384,1.08386,1.08386,38.7,38.7,30.15789,30.15789,0,0,0,0.00288
0.04,0.50363,0,0,0,0,0.00209,0,0,0,0,0.39891,0.39891,0.85568,0.85568,38.66667,38.66667,30.10526,30.10526,0,0,0,0.00234
0.05,0.51116,0.03083,0.03083,0,0,0,0,0,0,0,0.39891,0.39891,0.6275,0.6275,38.63333,38.63333,30.10526,30.10526,0,0,0,0.0018
0.06,0.50307,0.04637,0.04637,0,0,0,0,0,0,0,0.17096,0.17096,0.6275,0.6275,38.63333,38.63333,30.10526,30.10526,0,0,0,0.00128
0.07,0.47978,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.34227,0.34227,38.6,38.6,30.10526,30.10526,0,0,0,0
0.08,0.47504,0.04615,0.04615,0,0,0,0,0,0,0,0.17096,0.17096,0.34227,0.34227,38.56667,38.56667,30.05263,30.05263,0,0,0.01157,0
0.09,0.43988,0.03444,0.03444,0,0,0,0,0,0,0,0.17096,0.17096,0.34227,0.34227,38.53333,38.53333,30.05263,30.05263,0,0,0.01376,0
0.1,0.43208,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.17114,0.17114,38.53333,38.53333,30.05263,30.05263,0,0,0.01578,0
0.11,0.40815,0.05773,0.05773,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.5,38.5,30.05263,30.05263,0,0,0.01762,0
0.12,0.37698,0.0304,0.0304,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.5,38.5,30.05263,30.05263,0,0,0.01927,0
0.13,0.34559,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5,38.5,30.05263,30.05263,0,0,0.02071,0
0.14,0.32139,0.06528,0.06528,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.53333,38.53333,30.05263,30.05263,0,0,0.02193,0
0.15,0.29022,0.02234,0.02234,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.56667,38.56667,30.10526,30.10526,0,0,0.02293,0
0.16,0.25904,0.02236,0.02236,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.6,38.6,30.10526,30.10526,0,0,0.02371,0
0.17,0.243,0.06911,0.06911,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.6,38.6,30.10526,30.10526,0,0,0.02424,0
0.18,0.21197,0,0,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.6,38.6,30.10526,30.10526,0,0,0.02454,0
0.19,0.18832,0.04567,0.04567,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.7,38.7,30.21053,30.21053,0,0,0.02461,0
0.2,0.15721,0.06915,0.06915,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.73333,38.73333,30.21053,30.21053,0,0,0.02445,0
0.21,0.12995,0.0184,0.0184,0,0,0.00199,0,0,0,0,0,0,0.17114,0.17114,38.73333,38.73333,30.21053,30.21053,0,0,0.02406,0
0.22,0.10637,0.06523,0.06523,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.73333,38.73333,30.21053,30.21053,0,0,0.02345,0
0.23,0.07534,0.06139,0.06139,0.00195,0,0,0,0,0,0,0,0,0.17114,0.17114,38.8,38.8,30.26316,30.26316,0,0,0.02264,0
0.24,0.03628,0.01842,0.01842,0.00196,0,0.00198,0,0,0,0,0,0,0.17114,0.17114,38.83333,38.83333,30.31579,30.31579,0,0,0.02163,0
0.25,0.01668,0.08871,0.08871,0.00196,0,0.00198,0,0,0,0,0,0,0.17114,0.17114,38.83333,38.83333,30.31579,30.31579,0,0,0.02044,0
0.26,0,0.07313,0.07313,0.00196,0,0.00198,0,0,0,0,0,0,0.17114,0.17114,38.83333,38.83333,30.31579,30.31579,0,0,0.01908,0
0.27,0,0.0263,0.0263,0.00196,0,0.00198,0,0,0,0,0,0,0.17114,0.17114,38.86667,38.86667,30.31579,30.31579,0,0,0.01758,0
0.28,0,0.08492,0.08492,0.00196,0,0.00198,0,0,0,0,0,0,0.17114,0.17114,38.9,38.9,30.36842,30.36842,0,0,0.01594,0
0.29,0,0.05376,0.05376,0.00196,0,0.00201,0,0,0,0,0,0,0.17114,0.17114,38.96667,38.96667,30.42105,30.42105,0,0,0.0142,0
0.3,0,0.03807,0.03807,0.00196,0,0.00198,0,0,0,0,0,0,0.17114,0.17114,38.96667,38.96667,30.42105,30.42105,0,0,0.01236,0
0.31,0,0.10844,0.10844,0.00196,0,0.00198,0,0,0,0,0,0,0.17114,0.17114,38.96667,38.96667,30.42105,30.42105,0,0,0.01047,0
0.32,0,0.04607,0.04607,0.00196,0,0.00201,0,0,0,0,0,0,0.17114,0.17114,38.96667,38.96667,30.42105,30.42105,0,0,0,0
0.33,0,0.05779,0.05779,0.00196,0,0.00198,0,0,0,0,0,0,0.17114,0.17114,38.96667,38.96667,30.42105,30.42105,0,0,0,0
0.34,0,0.09694,0.09694,0.00196,0,0.00198,0,0,0,0,0,0,0.17114,0.17114,39,39,30.42105,30.42105,0,0,0,0
0.35,0,0.02667,0.02667,0.00196,0,0.00198,0,0,0,0,0,0,0.17114,0.17114,39.06667,39.06667,30.47368,30.47368,0,0,0,0
0.36,0,0.07743,0.07743,0.00195,0,0,0,0,0,0,0,0,0.17114,0.17114,39.03333,39.03333,30.47368,30.47368,0,0,0,0
0.37,0,0.06981,0.06981,0.00195,0,0,0,0,0,0,0,0,0.17114,0.17114,39,39,30.42105,30.42105,0,0,0,0
0.38,0,0.03465,0.03465,0.00195,0,0,0,0,0,0,0,0,0.17114,0.17114,39,39,30.42105,30.42105,0,0,0,0
0.39,0.00357,0.08168,0.08168,0,0,0,0,0,0,0,0,0,0.17114,0.17114,39,39,30.42105,30.42105,0,0,0,0
0.4,0.01919,0.05433,0.05433,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.96667,38.96667,30.42105,30.42105,0,0,0,0
0.41,0.03879,0.04654,0.04654,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.96667,38.96667,30.42105,30.42105,0,0,0,0
0.42,0.06655,0.07792,0.07792,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.96667,38.96667,30.42105,30.42105,0,0,0,0
0.43,0.0821,0.03493,0.03493,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.96667,38.96667,30.36842,30.36842,0,0,0,0
0.44,0.11376,0.05068,0.05068,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.96667,38.96667,30.36842,30.36842,0,0,0,0
0.45,0.13343,0.06635,0.06635,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.9,38.9,30.31579,30.31579,0,0,0,0
0.46,0.15693,0.03512,0.03512,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.9,38.9,30.36842,30.36842,0,0,0,0
0.47,0.1766,0.05469,0.05469,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.9,38.9,30.31579,30.31579,0,0,0,0
0.48,0.18825,0.05467,0.05467,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.86667,38.86667,30.31579,30.31579,0,0,0,0
0.49,0.20806,0.02351,0.02351,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.86667,38.86667,30.31579,30.31579,0,0,0,0
0.5,0.23135,0.05471,0.05471,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.86667,38.86667,30.31579,30.31579,0,0,0,0
0.51,0.24669,0.039,0.039,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.86667,38.86667,30.31579,30.31579,0,0,0,0
0.52,0.25095,0.0352,0.0352,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.86667,38.86667,30.31579,30.31579,0,0,0,0
0.53,0.2702,0.04293,0.04293,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.86667,38.86667,30.31579,30.31579,0,0,0,0
0.54,0.27382,0.03112,0.03112,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.86667,38.86667,30.31579,30.31579,0,0,0,0
0.55,0.28164,0.04675,0.04675,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.86667,38.86667,30.31579,30.31579,0,0,0,0
0.56,0.28924,0.04278,0.04278,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.8,38.8,30.26316,30.26316,0,0,0,0
0.57,0.29314,0.03496,0.03496,0,0,0,0,0,0,0,0,0,0.17114,0.17114,38.8,38.8,30.26316,30.26316,0,0,0,0
0.58,0.30075,0.0388,0.0388,0,0,0.00204,0,0,0,0,0,0,0.17114,0.17114,38.8,38.8,30.26316,30.26316,0,0,0,0
0.59,0.30047,0.027,0.027,0,0,0.00204,0,0,0,0,0,0,0.17114,0.17114,38.76667,38.76667,30.21053,30.21053,0,0,0,0
0.6,0.30033,0.03086,0.03086,0,0,0.00204,0,0,0,0,0,0,0.17114,0.17114,38.73333,38.73333,30.21053,30.21053,0,0,0,0
0.61,0.30012,0.0308,0.0308,0,0,0.00204,0,0,0,0,0,0,0.17114,0.17114,38.76667,38.76667,30.26316,30.26316,0,0,0,0
