time_series,imu_COG_acc_x,imu_COG_acc_y,imu_COG_acc_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,rwa_FM,rwa_RM,veh_u,veh_v
0,0.19914,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13333,30.13333,23.52632,23.52632,0.00878,0,0,0
0.002,0.2142,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13333,30.13333,23.47368,23.47368,0.00878,0,0,0
0.004,0.2142,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13333,30.13333,23.47368,23.47368,0.00878,0,0,0
0.006,0.2142,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13333,30.13333,23.47368,23.47368,0.00878,0,0,0
0.008,0.2142,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13333,30.13333,23.47368,23.47368,0.00878,0,0,0
0.01,0.2142,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13333,30.13333,23.47368,23.47368,0.00878,0,0,0
0.012,0.22606,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13333,30.13333,23.52632,23.52632,0.00878,0,0,0
0.014,0.22606,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13333,30.13333,23.52632,23.52632,0.00878,0,0,0
0.016,0.22606,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13333,30.13333,23.52632,23.52632,0.00878,0,0,0
0.018,0.22606,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13333,30.13333,23.52632,23.52632,0.00878,0,0,0
0.02,0.22606,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13333,30.13333,23.52632,23.52632,0.00878,0,0,0
0.022,0.22606,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13333,30.13333,23.47368,23.47368,0.00878,0,0,0
0.024,0.22606,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13333,30.13333,23.47368,23.47368,0.00878,0,0,0
0.026,0.22606,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13333,30.13333,23.47368,23.47368,0.00878,0,0,0
0.028,0.22606,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13333,30.13333,23.47368,23.47368,0.00878,0,0,0
0.03,0.22606,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13333,30.13333,23.47368,23.47368,0.00878,0,0,0
0.032,0.23785,0,0,0,0,0.002,0,0,0,0,0,0,0,0,30.06667,30.06667,23.47368,23.47368,0.00878,0,0,0
0.034,0.23785,0,0,0,0,0.002,0,0,0,0,0,0,0,0,30.06667,30.06667,23.47368,23.47368,0.00878,0,0,0
0.036,0.23785,0,0,0,0,0.002,0,0,0,0,0,0,0,0,30.06667,30.06667,23.47368,23.47368,0.00878,0,0,0
0.038,0.23785,0,0,0,0,0.002,0,0,0,0,0,0,0,0,30.06667,30.06667,23.47368,23.47368,0.00878,0,0,0
0.04,0.23785,0,0,0,0,0.002,0,0,0,0,0,0,0,0,30.06667,30.06667,23.47368,23.47368,0.00878,0,0,0
0.042,0.25298,0,0,0,0,0,0,0,0,0,0,0,0,0,30.06667,30.06667,23.47368,23.47368,0.00878,0,0,0
0.044,0.25298,0,0,0,0,0,0,0,0,0,0,0,0,0,30.06667,30.06667,23.47368,23.47368,0.00878,0,0,0
0.046,0.25298,0,0,0,0,0,0,0,0,0,0,0,0,0,30.06667,30.06667,23.47368,23.47368,0.00878,0,0,0
0.048,0.25298,0,0,0,0,0,0,0,0,0,0,0,0,0,30.06667,30.06667,23.47368,23.47368,0.00878,0,0,0
0.05,0.25298,0,0,0,0,0,0,0,0,0,0,0,0,0,30.06667,30.06667,23.47368,23.47368,0.00878,0,0,0
0.052,0.25689,0,0,0,0,0,0,0,0,0,0,0,0,0,30.06667,30.06667,23.47368,23.47368,0.00878,0,0,0
0.054,0.25689,0,0,0,0,0,0,0,0,0,0,0,0,0,30.06667,30.06667,23.47368,23.47368,0.00878,0,0,0
0.056,0.25689,0,0,0,0,0,0,0,0,0,0,0,0,0,30.06667,30.06667,23.47368,23.47368,0.00878,0,0,0
0.058,0.25689,0,0,0,0,0,0,0,0,0,0,0,0,0,30.06667,30.06667,23.47368,23.47368,0.00878,0,0,0
0.06,0.25689,0,0,0,0,0,0,0,0,0,0,0,0,0,30.06667,30.06667,23.47368,23.47368,0.00878,0,0,0
0.062,0.26114,0,0,0,0,0.00203,0,0,0,0,0,0,0,0,30.06667,30.06667,23.47368,23.47368,0.00878,0,0,0
