model_type;id;input_id;sequence_size;hidden_size;num_of_layers;step_size;input_size;output_size
RNN;2000;2;140;176;1;5;12;1
RNN;2001;2;140;176;2;5;12;1
RNN;2002;2;140;192;1;5;12;1
RNN;2003;2;140;192;2;5;12;1
RNN;2004;2;140;208;1;5;12;1
RNN;2005;2;140;208;2;5;12;1
RNN;2006;2;150;176;1;5;12;1
RNN;2007;2;150;176;2;5;12;1
RNN;2008;2;150;192;1;5;12;1
RNN;2009;2;150;192;2;5;12;1
RNN;2010;2;150;208;1;5;12;1
RNN;2011;2;150;208;2;5;12;1
RNN;2012;2;160;176;1;5;12;1
RNN;2013;2;160;176;2;5;12;1
RNN;2014;2;160;192;1;5;12;1
RNN;2015;2;160;192;2;5;12;1
RNN;2016;2;160;208;1;5;12;1
RNN;2017;2;160;208;2;5;12;1
RNN;2018;2;40;80;1;5;12;1
RNN;2019;2;40;80;2;5;12;1
RNN;2020;2;40;96;1;5;12;1
RNN;2021;2;40;96;2;5;12;1
RNN;2022;2;40;112;1;5;12;1
RNN;2023;2;40;112;2;5;12;1
RNN;2024;2;50;80;1;5;12;1
RNN;2025;2;50;80;2;5;12;1
RNN;2026;2;50;96;1;5;12;1
RNN;2027;2;50;96;2;5;12;1
RNN;2028;2;50;112;1;5;12;1
RNN;2029;2;50;112;2;5;12;1
RNN;2030;2;60;80;1;5;12;1
RNN;2031;2;60;80;2;5;12;1
RNN;2032;2;60;96;1;5;12;1
RNN;2033;2;60;96;2;5;12;1
RNN;2034;2;60;112;1;5;12;1
RNN;2035;2;60;112;2;5;12;1
RNN;2036;2;140;48;1;5;12;1
RNN;2037;2;140;48;2;5;12;1
RNN;2038;2;140;64;1;5;12;1
RNN;2039;2;140;64;2;5;12;1
RNN;2040;2;140;80;1;5;12;1
RNN;2041;2;140;80;2;5;12;1
RNN;2042;2;150;48;1;5;12;1
RNN;2043;2;150;48;2;5;12;1
RNN;2044;2;150;64;1;5;12;1
RNN;2045;2;150;64;2;5;12;1
RNN;2046;2;150;80;1;5;12;1
RNN;2047;2;150;80;2;5;12;1
RNN;2048;2;160;48;1;5;12;1
RNN;2049;2;160;48;2;5;12;1
RNN;2050;2;160;64;1;5;12;1
RNN;2051;2;160;64;2;5;12;1
RNN;2052;2;160;80;1;5;12;1
RNN;2053;2;160;80;2;5;12;1
