model_type;id;input_id;sequence_size;hidden_size;num_of_layers;step_size;input_size;output_size
LSTM;32;2;50;64;1;5;12;1
LSTM;33;2;100;64;1;5;12;1
LSTM;34;2;150;64;1;5;12;1
LSTM;35;2;200;64;1;5;12;1
LSTM;36;2;50;96;1;5;12;1
LSTM;37;2;100;96;1;5;12;1
LSTM;38;2;150;96;1;5;12;1
LSTM;39;2;200;96;1;5;12;1
LSTM;40;2;50;128;1;5;12;1
LSTM;41;2;100;128;1;5;12;1
LSTM;42;2;150;128;1;5;12;1
LSTM;43;2;200;128;1;5;12;1
LSTM;44;2;50;192;1;5;12;1
LSTM;45;2;100;192;1;5;12;1
LSTM;46;2;150;192;1;5;12;1
LSTM;47;2;200;192;1;5;12;1
LSTM;48;2;50;64;2;5;12;1
LSTM;49;2;100;64;2;5;12;1
LSTM;50;2;150;64;2;5;12;1
LSTM;51;2;200;64;2;5;12;1
LSTM;52;2;50;96;2;5;12;1
LSTM;53;2;100;96;2;5;12;1
LSTM;54;2;150;96;2;5;12;1
LSTM;55;2;200;96;2;5;12;1
LSTM;56;2;50;128;2;5;12;1
LSTM;57;2;100;128;2;5;12;1
LSTM;58;2;150;128;2;5;12;1
LSTM;59;2;200;128;2;5;12;1
LSTM;60;2;50;192;2;5;12;1
LSTM;61;2;100;192;2;5;12;1
LSTM;62;2;150;192;2;5;12;1
LSTM;63;2;200;192;2;5;12;1
