time,veh_u,veh_v,model_LSTM_lon_32.pt,model_LSTM_lon_33.pt,model_LSTM_lon_34.pt,model_LSTM_lon_35.pt,model_LSTM_lon_36.pt,model_LSTM_lon_37.pt,model_LSTM_lon_38.pt,model_LSTM_lon_39.pt,model_LSTM_lon_40.pt,model_LSTM_lon_41.pt,model_LSTM_lon_42.pt,model_LSTM_lon_43.pt,model_LSTM_lon_44.pt,model_LSTM_lon_45.pt,model_LSTM_lon_46.pt,model_LSTM_lon_47.pt,model_LSTM_lon_48.pt,model_LSTM_lon_49.pt,model_LSTM_lon_50.pt,model_LSTM_lon_51.pt,model_LSTM_lon_52.pt,model_LSTM_lon_53.pt,model_LSTM_lon_54.pt,model_LSTM_lon_55.pt,model_LSTM_lon_56.pt,model_LSTM_lon_57.pt,model_LSTM_lon_58.pt,model_LSTM_lon_59.pt,model_LSTM_lon_60.pt,model_LSTM_lon_61.pt,model_LSTM_lon_62.pt,model_LSTM_lon_63.pt
0.0,0.02873,0.0,-0.0006677806377410889,-0.0022344589233398438,0.0014932453632354736,0.12239731848239899,-0.009529724717140198,0.011471167206764221,-0.001654297113418579,0.12718886137008667,-0.0023054853081703186,0.047812387347221375,-0.03977493941783905,0.17775794863700867,-0.008838992565870285,0.016008852049708366,0.020600775256752968,0.1876528412103653,-0.014109790325164795,-0.012979894876480103,-0.006722748279571533,0.10167621076107025,0.003890618681907654,-0.004023000597953796,-0.013428911566734314,0.08749008178710938,-0.004375144839286804,0.00036559998989105225,-0.005374878644943237,0.12221477925777435,0.006492156069725752,-0.003317488357424736,0.0061644986271858215,0.1278231143951416
0.01,0.02754,0.0,-0.0006677806377410889,-0.0022344589233398438,0.0014932453632354736,0.12239731848239899,-0.009529724717140198,0.011471167206764221,-0.001654297113418579,0.12718886137008667,-0.0023054853081703186,0.047812387347221375,-0.03977493941783905,0.17775794863700867,-0.008838992565870285,0.016008852049708366,0.020600775256752968,0.1876528412103653,-0.014109790325164795,-0.012979894876480103,-0.006722748279571533,0.10167621076107025,0.003890618681907654,-0.004023000597953796,-0.013428911566734314,0.08749008178710938,-0.004375144839286804,0.00036559998989105225,-0.005374878644943237,0.12221477925777435,0.006492156069725752,-0.003317488357424736,0.0061644986271858215,0.1278231143951416
0.02,0.02624,0.0,-0.0006677806377410889,-0.0022344589233398438,0.0014932453632354736,0.12239731848239899,-0.009529724717140198,0.011471167206764221,-0.001654297113418579,0.12718886137008667,-0.0023054853081703186,0.047812387347221375,-0.03977493941783905,0.17775794863700867,-0.008838992565870285,0.016008852049708366,0.020600775256752968,0.1876528412103653,-0.014109790325164795,-0.012979894876480103,-0.006722748279571533,0.10167621076107025,0.003890618681907654,-0.004023000597953796,-0.013428911566734314,0.08749008178710938,-0.004375144839286804,0.00036559998989105225,-0.005374878644943237,0.12221477925777435,0.006492156069725752,-0.003317488357424736,0.0061644986271858215,0.1278231143951416
0.03,0.02485,0.0,-0.0006677806377410889,-0.0022344589233398438,0.0014932453632354736,0.12239731848239899,-0.009529724717140198,0.011471167206764221,-0.001654297113418579,0.12718886137008667,-0.0023054853081703186,0.047812387347221375,-0.03977493941783905,0.17775794863700867,-0.008838992565870285,0.016008852049708366,0.020600775256752968,0.1876528412103653,-0.014109790325164795,-0.012979894876480103,-0.006722748279571533,0.10167621076107025,0.003890618681907654,-0.004023000597953796,-0.013428911566734314,0.08749008178710938,-0.004375144839286804,0.00036559998989105225,-0.005374878644943237,0.12221477925777435,0.006492156069725752,-0.003317488357424736,0.0061644986271858215,0.1278231143951416
0.04,0.02337,0.0,-0.0006677806377410889,-0.0022344589233398438,0.0014932453632354736,0.12239731848239899,-0.009529724717140198,0.011471167206764221,-0.001654297113418579,0.12718886137008667,-0.0023054853081703186,0.047812387347221375,-0.03977493941783905,0.17775794863700867,-0.008838992565870285,0.016008852049708366,0.020600775256752968,0.1876528412103653,-0.014109790325164795,-0.012979894876480103,-0.006722748279571533,0.10167621076107025,0.003890618681907654,-0.004023000597953796,-0.013428911566734314,0.08749008178710938,-0.004375144839286804,0.00036559998989105225,-0.005374878644943237,0.12221477925777435,0.006492156069725752,-0.003317488357424736,0.0061644986271858215,0.1278231143951416
0.05,0.0218,0.0,-0.0006677806377410889,-0.0022344589233398438,0.0014932453632354736,0.12239731848239899,-0.009529724717140198,0.011471167206764221,-0.001654297113418579,0.12718886137008667,-0.0023054853081703186,0.047812387347221375,-0.03977493941783905,0.17775794863700867,-0.008838992565870285,0.016008852049708366,0.020600775256752968,0.1876528412103653,-0.014109790325164795,-0.012979894876480103,-0.006722748279571533,0.10167621076107025,0.003890618681907654,-0.004023000597953796,-0.013428911566734314,0.08749008178710938,-0.004375144839286804,0.00036559998989105225,-0.005374878644943237,0.12221477925777435,0.006492156069725752,-0.003317488357424736,0.0061644986271858215,0.1278231143951416
0.06,0.02015,0.0,-0.0006677806377410889,-0.0022344589233398438,0.0014932453632354736,0.12239731848239899,-0.009529724717140198,0.011471167206764221,-0.001654297113418579,0.12718886137008667,-0.0023054853081703186,0.047812387347221375,-0.03977493941783905,0.17775794863700867,-0.008838992565870285,0.016008852049708366,0.020600775256752968,0.1876528412103653,-0.014109790325164795,-0.012979894876480103,-0.006722748279571533,0.10167621076107025,0.003890618681907654,-0.004023000597953796,-0.013428911566734314,0.08749008178710938,-0.004375144839286804,0.00036559998989105225,-0.005374878644943237,0.12221477925777435,0.006492156069725752,-0.003317488357424736,0.0061644986271858215,0.1278231143951416
0.07,0.01842,0.0,-0.0006677806377410889,-0.0022344589233398438,0.0014932453632354736,0.12239731848239899,-0.009529724717140198,0.011471167206764221,-0.001654297113418579,0.12718886137008667,-0.0023054853081703186,0.047812387347221375,-0.03977493941783905,0.17775794863700867,-0.008838992565870285,0.016008852049708366,0.020600775256752968,0.1876528412103653,-0.014109790325164795,-0.012979894876480103,-0.006722748279571533,0.10167621076107025,0.003890618681907654,-0.004023000597953796,-0.013428911566734314,0.08749008178710938,-0.004375144839286804,0.00036559998989105225,-0.005374878644943237,0.12221477925777435,0.006492156069725752,-0.003317488357424736,0.0061644986271858215,0.1278231143951416
0.08,0.01664,0.0,-0.0006677806377410889,-0.0022344589233398438,0.0014932453632354736,0.12239731848239899,-0.009529724717140198,0.011471167206764221,-0.001654297113418579,0.12718886137008667,-0.0023054853081703186,0.047812387347221375,-0.03977493941783905,0.17775794863700867,-0.008838992565870285,0.016008852049708366,0.020600775256752968,0.1876528412103653,-0.014109790325164795,-0.012979894876480103,-0.006722748279571533,0.10167621076107025,0.003890618681907654,-0.004023000597953796,-0.013428911566734314,0.08749008178710938,-0.004375144839286804,0.00036559998989105225,-0.005374878644943237,0.12221477925777435,0.006492156069725752,-0.003317488357424736,0.0061644986271858215,0.1278231143951416
0.09,0.0148,0.0,-0.0006677806377410889,-0.0022344589233398438,0.0014932453632354736,0.12239731848239899,-0.009529724717140198,0.011471167206764221,-0.001654297113418579,0.12718886137008667,-0.0023054853081703186,0.047812387347221375,-0.03977493941783905,0.17775794863700867,-0.008838992565870285,0.016008852049708366,0.020600775256752968,0.1876528412103653,-0.014109790325164795,-0.012979894876480103,-0.006722748279571533,0.10167621076107025,0.003890618681907654,-0.004023000597953796,-0.013428911566734314,0.08749008178710938,-0.004375144839286804,0.00036559998989105225,-0.005374878644943237,0.12221477925777435,0.006492156069725752,-0.003317488357424736,0.0061644986271858215,0.1278231143951416
