model_type;id;input_id;sequence_size;hidden_size;num_of_layers;step_size;input_size;output_size
GRU;0;2;50;64;1;5;12;1
GRU;1;2;100;64;1;5;12;1
GRU;2;2;150;64;1;5;12;1
GRU;3;2;200;64;1;5;12;1
GRU;4;2;50;96;1;5;12;1
GRU;5;2;100;96;1;5;12;1
GRU;6;2;150;96;1;5;12;1
GRU;7;2;200;96;1;5;12;1
GRU;8;2;50;128;1;5;12;1
GRU;9;2;100;128;1;5;12;1
GRU;10;2;150;128;1;5;12;1
GRU;11;2;200;128;1;5;12;1
GRU;12;2;50;192;1;5;12;1
GRU;13;2;100;192;1;5;12;1
GRU;14;2;150;192;1;5;12;1
GRU;15;2;200;192;1;5;12;1
GRU;16;2;50;64;2;5;12;1
GRU;17;2;100;64;2;5;12;1
GRU;18;2;150;64;2;5;12;1
GRU;19;2;200;64;2;5;12;1
GRU;20;2;50;96;2;5;12;1
GRU;21;2;100;96;2;5;12;1
GRU;22;2;150;96;2;5;12;1
GRU;23;2;200;96;2;5;12;1
GRU;24;2;50;128;2;5;12;1
GRU;25;2;100;128;2;5;12;1
GRU;26;2;150;128;2;5;12;1
GRU;27;2;200;128;2;5;12;1
GRU;28;2;50;192;2;5;12;1
GRU;29;2;100;192;2;5;12;1
GRU;30;2;150;192;2;5;12;1
GRU;31;2;200;192;2;5;12;1
