ID;model_type;d_model;dim_ff;num_of_layers;nhead;sequence_size;input_size;output_size;input_id;step_size;dropout
64;Transformer;32;2;2;2;50;12;1;2;5;0.1
65;Transformer;32;2;2;2;100;12;1;2;5;0.1
66;Transformer;32;2;2;2;150;12;1;2;5;0.1
67;Transformer;32;2;2;2;200;12;1;2;5;0.1
68;Transformer;32;2;2;2;50;12;1;2;5;0.1
69;Transformer;32;2;2;2;100;12;1;2;5;0.1
70;Transformer;32;2;2;2;150;12;1;2;5;0.1
71;Transformer;32;2;2;2;200;12;1;2;5;0.1
72;Transformer;32;2;3;3;50;12;1;2;5;0.1
73;Transformer;32;2;3;3;100;12;1;2;5;0.1
74;Transformer;32;2;3;3;150;12;1;2;5;0.1
75;Transformer;32;2;3;3;200;12;1;2;5;0.1
76;Transformer;32;2;3;3;50;12;1;2;5;0.1
77;Transformer;32;2;3;3;100;12;1;2;5;0.1
78;Transformer;32;2;3;3;150;12;1;2;5;0.1
79;Transformer;32;2;3;3;200;12;1;2;5;0.1
80;Transformer;32;3;2;2;50;12;1;2;5;0.1
81;Transformer;32;3;2;2;100;12;1;2;5;0.1
82;Transformer;32;3;2;2;150;12;1;2;5;0.1
83;Transformer;32;3;2;2;200;12;1;2;5;0.1
84;Transformer;32;3;2;2;50;12;1;2;5;0.1
85;Transformer;32;3;2;2;100;12;1;2;5;0.1
86;Transformer;32;3;2;2;150;12;1;2;5;0.1
87;Transformer;32;3;2;2;200;12;1;2;5;0.1
88;Transformer;32;3;3;3;50;12;1;2;5;0.1
89;Transformer;32;3;3;3;100;12;1;2;5;0.1
90;Transformer;32;3;3;3;150;12;1;2;5;0.1
91;Transformer;32;3;3;3;200;12;1;2;5;0.1
92;Transformer;32;3;3;3;50;12;1;2;5;0.1
93;Transformer;32;3;3;3;100;12;1;2;5;0.1
94;Transformer;32;3;3;3;150;12;1;2;5;0.1
95;Transformer;32;3;3;3;200;12;1;2;5;0.1
96;Transformer;64;2;2;2;50;12;1;2;5;0.1
97;Transformer;64;2;2;2;100;12;1;2;5;0.1
98;Transformer;64;2;2;2;150;12;1;2;5;0.1
99;Transformer;64;2;2;2;200;12;1;2;5;0.1
100;Transformer;64;2;2;2;50;12;1;2;5;0.1
101;Transformer;64;2;2;2;100;12;1;2;5;0.1
102;Transformer;64;2;2;2;150;12;1;2;5;0.1
103;Transformer;64;2;2;2;200;12;1;2;5;0.1
104;Transformer;64;2;3;3;50;12;1;2;5;0.1
105;Transformer;64;2;3;3;100;12;1;2;5;0.1
106;Transformer;64;2;3;3;150;12;1;2;5;0.1
107;Transformer;64;2;3;3;200;12;1;2;5;0.1
108;Transformer;64;2;3;3;50;12;1;2;5;0.1
109;Transformer;64;2;3;3;100;12;1;2;5;0.1
110;Transformer;64;2;3;3;150;12;1;2;5;0.1
111;Transformer;64;2;3;3;200;12;1;2;5;0.1
112;Transformer;64;3;2;2;50;12;1;2;5;0.1
113;Transformer;64;3;2;2;100;12;1;2;5;0.1
114;Transformer;64;3;2;2;150;12;1;2;5;0.1
115;Transformer;64;3;2;2;200;12;1;2;5;0.1
116;Transformer;64;3;2;2;50;12;1;2;5;0.1
117;Transformer;64;3;2;2;100;12;1;2;5;0.1
118;Transformer;64;3;2;2;150;12;1;2;5;0.1
119;Transformer;64;3;2;2;200;12;1;2;5;0.1
120;Transformer;64;3;3;3;50;12;1;2;5;0.1
121;Transformer;64;3;3;3;100;12;1;2;5;0.1
122;Transformer;64;3;3;3;150;12;1;2;5;0.1
123;Transformer;64;3;3;3;200;12;1;2;5;0.1
124;Transformer;64;3;3;3;50;12;1;2;5;0.1
125;Transformer;64;3;3;3;100;12;1;2;5;0.1
126;Transformer;64;3;3;3;150;12;1;2;5;0.1
127;Transformer;64;3;3;3;200;12;1;2;5;0.1
