time,veh_u,veh_v,model_LSTM_lon_2139.pt
0.0,0.02873,0.0,0.006492156069725752
0.01,0.02754,0.0,0.006492156069725752
0.02,0.02624,0.0,0.006492156069725752
0.03,0.02485,0.0,0.006492156069725752
0.04,0.02337,0.0,0.006492156069725752
0.05,0.0218,0.0,0.006492156069725752
0.06,0.02015,0.0,0.006492156069725752
0.07,0.01842,0.0,0.006492156069725752
0.08,0.01664,0.0,0.006492156069725752
0.09,0.0148,0.0,0.006492156069725752
0.1,0.01292,0.0,0.006492156069725752
0.11,0.01101,0.0,0.006492156069725752
0.12,0.0,0.0,0.006492156069725752
0.13,0.0,0.0,0.006492156069725752
0.14,0.0,0.0,0.006492156069725752
0.15,0.0,0.0,0.006492156069725752
0.16,0.0,0.0,0.006492156069725752
0.17,0.0,0.0,0.006492156069725752
0.18,0.0,0.0,0.006492156069725752
0.19,0.0,0.0,0.006492156069725752
0.2,0.0,0.0,0.006492156069725752
0.21,0.0,0.0,0.006492156069725752
0.22,0.0,0.0,0.006492156069725752
0.23,0.0,0.0,0.006492156069725752
0.24,0.0,0.0,0.006492156069725752
0.25,0.0,0.0,0.006492156069725752
0.26,0.0,0.00114,0.006492156069725752
0.27,0.0,0.00124,0.006492156069725752
0.28,0.0,0.00128,0.006492156069725752
0.29,0.0,0.00127,0.006492156069725752
0.3,0.0,0.00121,0.006492156069725752
0.31,0.0,0.00112,0.006492156069725752
0.32,0.0,0.0,0.006492156069725752
0.33,0.0,0.0,0.006492156069725752
0.34,0.0,0.0,0.006492156069725752
0.35,0.0,0.0,0.006492156069725752
0.36,0.0,0.0,0.006492156069725752
0.37,0.0,0.0,0.006492156069725752
0.38,0.0,0.0,0.006492156069725752
0.39,0.0,0.0,0.006492156069725752
0.4,0.0,0.0,0.006492156069725752
0.41,0.0,0.0,0.006492156069725752
0.42,0.0,0.0,0.006492156069725752
0.43,0.0,0.0,0.006492156069725752
0.44,0.0,0.0,0.006492156069725752
0.45,0.0,0.0,0.006492156069725752
0.46,0.0,0.0,0.006492156069725752
0.47,0.0,0.0,0.006492156069725752
0.48,0.0,0.0,0.006492156069725752
0.49,0.0,0.0,0.006492156069725752
0.5,0.0,0.0,0.00672810198739171
0.51,0.0,0.0,0.006811652798205614
0.52,0.0,0.0,0.006773174274712801
0.53,0.0,0.0,0.00657660560682416
0.54,0.0,0.0,0.006206549238413572
0.55,0.0,0.0,0.005722070578485727
0.56,0.0,0.0,0.005163733381778002
0.57,0.0,0.0,0.0044875782914459705
0.58,0.0,0.0,0.0037470925599336624
0.59,0.0,0.0,0.0029658889397978783
0.6,0.0,0.0,0.0021240576170384884
0.61,0.0,0.0,0.0012135040014982224
0.62,0.0,0.0,0.00029588164761662483
0.63,0.0,0.0,-0.0006287549622356892
0.64,0.0,0.0,-0.0015602600760757923
0.65,0.0,0.0,-0.002441065153107047
0.66,0.0,0.00118,-0.0032871183939278126
0.67,0.0,0.00162,-0.004102511331439018
0.68,0.0,0.00204,-0.004888588096946478
0.69,0.0,0.00237,-0.00557970954105258
0.7,0.0,0.00277,-0.006213447544723749
0.71,0.0,0.00321,-0.0067923725582659245
0.72,0.0,0.00354,-0.007246704772114754
0.73,0.0,0.00384,-0.007619287818670273
0.74,0.0,0.00409,-0.007925506681203842
0.75,0.0,0.00429,-0.0081369299441576
0.76,0.0,0.00445,-0.008215447887778282
0.77,0.0,0.00455,-0.008217763155698776
0.78,0.0,0.00459,-0.008134066127240658
0.79,0.0,0.00457,-0.00791514478623867
0.8,0.0,0.00448,-0.0076318057253956795
0.81,0.0,0.00433,-0.007275416981428862
0.82,0.0,0.00416,-0.006868033204227686
0.83,0.0,0.0039,-0.006402953062206507
0.84,0.0,0.00349,-0.005881119519472122
0.85,0.0,0.00309,-0.0053363973274827
0.86,0.0,0.00263,-0.00474190479144454
0.87,0.0,0.00211,-0.004105366766452789
0.88,0.0,0.00154,-0.0034735556691884995
0.89,0.0,0.0,-0.002843315713107586
0.9,0.0,0.0,-0.0022219300735741854
0.91,0.0,0.0,-0.0016372674144804478
0.92,0.0,0.0,-0.001079837791621685
0.93,0.0,0.0,-0.000525440089404583
0.94,0.0,0.0,-9.653158485889435e-07
0.95,0.0,0.0,0.00043217185884714127
0.96,0.0,0.0,0.0008319173939526081
0.97,0.0,0.0,0.0011373991146683693
0.98,0.0,0.0,0.0013349498622119427
0.99,0.0,0.0,0.0014670179225504398
1.0,0.0,0.0,0.001555275171995163
1.01,0.0,0.0,0.0015769712626934052
1.02,0.0,0.0,0.001487745437771082
1.03,0.0,0.0,0.0013195988722145557
1.04,0.0,0.0,0.0011179684661328793
1.05,0.0,0.0,0.0008619427680969238
1.06,0.0,0.0,0.0005568740889430046
1.07,0.0,0.0,0.00023789284750819206
1.08,0.0,0.0,-0.00012446334585547447
1.09,0.0,0.0,-0.000518149696290493
1.1,0.0,0.0,-0.0009355135262012482
1.11,0.0,0.0,-0.0013828082010149956
1.12,0.0,0.0,-0.0018454717937856913
1.13,0.0,0.0,-0.0023274030536413193
1.14,0.0,0.0,-0.0028033587150275707
1.15,0.0,0.0,-0.003263098420575261
1.16,0.0,0.0,-0.0037142778746783733
1.17,0.0,0.0,-0.004124974831938744
1.18,0.0,0.0,-0.0045105465687811375
1.19,0.0,0.0,-0.004873320925980806
1.2,0.0,0.0,-0.005206284578889608
1.21,0.0,0.0,-0.0054544671438634396
