time,veh_u,veh_v,model_GRU_lon_2080.pt
0.0,0.05073,0.0,0.005439111962914467
0.01,0.04555,0.0,0.005439111962914467
0.02,0.04022,0.0,0.005439111962914467
0.03,0.0348,0.0,0.005439111962914467
0.04,0.02931,0.0,0.005439111962914467
0.05,0.0238,0.0,0.005439111962914467
0.06,0.0183,0.0,0.005439111962914467
0.07,0.01284,0.0,0.005439111962914467
0.08,0.0,0.0,0.005439111962914467
0.09,0.0,0.0,0.005439111962914467
0.1,0.0,0.0,0.005439111962914467
0.11,0.0,0.0,0.005439111962914467
0.12,0.0,0.0,0.005439111962914467
0.13,0.0,0.0,0.005439111962914467
0.14,0.0,0.0,0.005439111962914467
0.15,0.0,0.0,0.005439111962914467
0.16,0.0,0.0,0.005439111962914467
0.17,0.0,0.0,0.005439111962914467
0.18,0.0,0.00166,0.005439111962914467
0.19,0.0,0.00241,0.005439111962914467
0.2,0.0,0.0031,0.005439111962914467
0.21,0.0,0.00374,0.005439111962914467
0.22,0.0,0.00432,0.005439111962914467
0.23,0.0,0.00485,0.005439111962914467
0.24,0.0,0.00532,0.005439111962914467
0.25,0.0,0.00574,0.005439111962914467
0.26,0.0,0.0061,0.005439111962914467
0.27,0.0,0.0064,0.005439111962914467
0.28,0.0,0.00665,0.005439111962914467
0.29,0.0,0.00685,0.005439111962914467
0.3,0.0,0.00701,0.005439111962914467
0.31,0.0,0.00711,0.005439111962914467
0.32,0.0,0.00717,0.005439111962914467
0.33,0.0,0.00719,0.005439111962914467
0.34,0.0,0.00716,0.005439111962914467
0.35,0.0,0.00711,0.005439111962914467
0.36,0.0,0.007,0.005439111962914467
0.37,0.0,0.00687,0.005439111962914467
0.38,0.0,0.0067,0.005439111962914467
0.39,0.0,0.00651,0.005439111962914467
0.4,0.0,0.00629,0.005439111962914467
0.41,0.0,0.00609,0.005439111962914467
0.42,0.01188,0.00578,0.005439111962914467
0.43,0.015,0.00549,0.005439111962914467
0.44,0.01789,0.00519,0.005439111962914467
0.45,0.02053,0.00486,0.005439111962914467
0.46,0.02288,0.00453,0.005439111962914467
0.47,0.02455,0.00424,0.005439111962914467
0.48,0.02666,0.00381,0.005439111962914467
0.49,0.02805,0.00344,0.005439111962914467
0.5,0.02909,0.00305,0.005439111962914467
0.51,0.02977,0.00266,0.005439111962914467
0.52,0.03009,0.00226,0.005439111962914467
0.53,0.03006,0.00185,0.005439111962914467
0.54,0.02968,0.00143,0.005439111962914467
0.55,0.02897,0.00101,0.005439111962914467
0.56,0.02792,0.0,0.005439111962914467
0.57,0.02686,0.0,0.005439111962914467
0.58,0.02494,0.0,0.005439111962914467
0.59,0.02304,0.0,0.005439111962914467
0.6,0.02091,0.0,0.005439111962914467
0.61,0.01857,0.0,0.005439111962914467
0.62,0.01605,0.0,0.005439111962914467
0.63,0.01339,0.0,0.005439111962914467
0.64,0.01062,0.0,0.005439111962914467
0.65,0.0,0.0,0.005439111962914467
0.66,0.0,0.0,0.005439111962914467
0.67,0.0,0.0,0.005439111962914467
0.68,0.0,0.0,0.005439111962914467
0.69,0.0,0.0,0.005439111962914467
0.7,0.0,0.0,0.005439111962914467
0.71,0.0,0.0,0.005439111962914467
0.72,0.0,0.0,0.005439111962914467
0.73,0.0,0.0,0.005439111962914467
0.74,0.0,0.0,0.005439111962914467
0.75,0.0,0.0,0.005439111962914467
0.76,0.0,0.0,0.005439111962914467
0.77,0.0,0.0,0.005439111962914467
0.78,0.0,0.0,0.005439111962914467
0.79,0.0,0.0,0.005439111962914467
0.8,0.0,0.0,0.005439111962914467
0.81,0.0,0.0,0.005439111962914467
0.82,0.0,0.0,0.005439111962914467
0.83,0.0,0.0,0.005439111962914467
0.84,0.0,0.0,0.005439111962914467
0.85,0.0,0.0,0.005439111962914467
0.86,0.0,0.0,0.005439111962914467
0.87,0.0,0.0,0.005439111962914467
0.88,0.0,0.0,0.005439111962914467
0.89,0.0,0.0,0.005439111962914467
0.9,0.0,0.0,0.00709635391831398
0.91,0.0,0.0,0.008777935057878494
0.92,0.0,0.0,0.01047518476843834
0.93,0.0,0.0,0.012145888060331345
0.94,0.0,0.0,0.013744775205850601
0.95,0.0,0.0,0.015227826312184334
0.96,0.0,0.0,0.016552697867155075
0.97,0.0,0.0,0.017710519954562187
