time,veh_u,veh_v,model_TCN_lon_129.pt
0.0,0.0,0.0,-0.01370963454246521
0.01,0.0,0.0,-0.01370963454246521
0.02,0.0,0.0,-0.01370963454246521
0.03,0.0,0.0,-0.01370963454246521
0.04,0.0,0.0,-0.01370963454246521
0.05,0.0,0.0,-0.01370963454246521
0.06,0.0,0.0,-0.01370963454246521
0.07,0.0,0.0,-0.01370963454246521
0.08,0.0,0.0,-0.01370963454246521
0.09,0.0,0.0,-0.01370963454246521
0.1,0.0,0.0,-0.01370963454246521
0.11,0.0,0.0,-0.01370963454246521
0.12,0.0,0.0,-0.01370963454246521
0.13,0.0,0.0,-0.01370963454246521
0.14,0.0,0.0,-0.01370963454246521
0.15,0.0,0.00105,-0.01370963454246521
0.16,0.0,0.00131,-0.01370963454246521
0.17,0.0,0.00152,-0.01370963454246521
0.18,0.0,0.0017,-0.01370963454246521
0.19,0.0,0.00183,-0.01370963454246521
0.2,0.0,0.00192,-0.01370963454246521
0.21,0.0,0.00197,-0.01370963454246521
0.22,0.0,0.00198,-0.01370963454246521
0.23,0.0,0.00196,-0.01370963454246521
0.24,0.0,0.0019,-0.01370963454246521
0.25,0.0,0.0018,-0.01370963454246521
0.26,0.0,0.00168,-0.01370963454246521
0.27,0.0,0.00153,-0.01370963454246521
0.28,0.0,0.00135,-0.01370963454246521
0.29,0.0,0.00115,-0.01370963454246521
0.3,0.0,0.0,-0.01370963454246521
0.31,0.0,0.0,-0.01370963454246521
0.32,0.0,0.0,-0.01370963454246521
0.33,0.0,0.0,-0.01370963454246521
0.34,0.0,0.0,-0.01370963454246521
0.35,0.0,0.0,-0.01370963454246521
0.36,0.0,0.0,-0.01370963454246521
0.37,0.0,0.0,-0.01370963454246521
0.38,0.0,0.0,-0.01370963454246521
0.39,0.0,0.0,-0.01370963454246521
0.4,0.0,0.0,-0.01370963454246521
0.41,0.0,0.0,-0.01370963454246521
0.42,0.0,0.0,-0.01370963454246521
0.43,0.0,0.0,-0.01370963454246521
0.44,0.0,0.0,-0.01370963454246521
0.45,0.0,0.0,-0.01370963454246521
0.46,0.0,0.0,-0.01370963454246521
0.47,0.0,0.0,-0.01370963454246521
0.48,0.0,0.0,-0.01370963454246521
0.49,0.0,0.0,-0.01370963454246521
0.5,0.0,0.0,-0.01374123990535736
0.51,0.0,0.0,-0.013153165578842163
0.52,0.0,0.0,-0.01408568024635315
0.53,0.0,0.0,-0.013860270380973816
0.54,0.0,0.0,-0.013711288571357727
0.55,0.0,0.0,-0.01362830400466919
0.56,0.0,0.0,-0.012848421931266785
0.57,0.0,0.0,-0.013090744614601135
0.58,0.0,0.0,-0.013022303581237793
0.59,0.0,0.0,-0.012844637036323547
0.6,0.0,0.0,-0.012797117233276367
0.61,0.0,0.0,-0.012166962027549744
0.62,0.0,0.0,-0.012431949377059937
0.63,0.0,0.0,-0.012041166424751282
0.64,0.0,0.0,-0.01182626187801361
0.65,0.0,0.0,-0.011783242225646973
0.66,0.0,0.0,-0.010950922966003418
0.67,0.0,0.0,-0.010421797633171082
0.68,0.0,0.0,-0.010461881756782532
0.69,0.0,0.0,-0.010341152548789978
0.7,0.0,0.0,-0.010757416486740112
0.71,0.0,0.0,-0.010373488068580627
0.72,0.0,0.00116,-0.010457232594490051
0.73,0.0,0.00145,-0.01013423502445221
0.74,0.0,0.00172,-0.010179534554481506
0.75,0.0,0.00199,-0.00995589792728424
0.76,0.0,0.00224,-0.009905785322189331
0.77,0.0,0.00247,-0.009797915816307068
0.78,0.0,0.00269,-0.009880632162094116
0.79,0.0,0.00288,-0.00980125367641449
0.8,0.0,0.00306,-0.009917810559272766
0.81,0.0,0.00321,-0.00992344319820404
0.82,0.0,0.00331,-0.010057851672172546
0.83,0.0,0.00342,-0.00939185917377472
0.84,0.0,0.00351,-0.009628072381019592
0.85,0.0,0.00355,-0.010346785187721252
0.86,0.0,0.00357,-0.009795516729354858
0.87,0.0,0.00356,-0.009973615407943726
0.88,0.0,0.00353,-0.010746017098426819
0.89,0.0,0.00346,-0.0111188143491745
0.9,0.0,0.00338,-0.011084303259849548
0.91,0.0,0.00327,-0.01135052740573883
0.92,0.0,0.00314,-0.011623978614807129
0.93,0.0,0.00299,-0.011862620711326599
0.94,0.0,0.00286,-0.011827424168586731
0.95,0.0,0.00268,-0.011982843279838562
0.96,0.0,0.00244,-0.012280449271202087
0.97,0.0,0.00224,-0.012518972158432007
0.98,0.0,0.00203,-0.012634500861167908
0.99,0.0,0.00181,-0.012559548020362854
1.0,0.0,0.00159,-0.011980712413787842
1.01,0.0,0.00137,-0.012927398085594177
1.02,0.0,0.00116,-0.012033730745315552
1.03,0.0,0.0,-0.012633174657821655
1.04,0.0,0.0,-0.011944591999053955
1.05,0.0,0.0,-0.012715429067611694
1.06,0.0,0.0,-0.012423902750015259
1.07,0.0,0.0,-0.012612655758857727
1.08,0.0,0.0,-0.01236046850681305
1.09,0.0,0.0,-0.012383237481117249
1.1,0.0,0.0,-0.012270107865333557
1.11,0.0,0.0,-0.011502176523208618
1.12,0.0,0.0,-0.011295795440673828
1.13,0.0,0.0,-0.012243643403053284
1.14,0.0,0.0,-0.011985227465629578
1.15,0.0,0.0,-0.011769488453865051
1.16,0.0,0.0,-0.011627987027168274
1.17,0.0,0.0,-0.011000484228134155
1.18,0.0,0.0,-0.010597988963127136
1.19,0.0,0.0,-0.010813027620315552
1.2,0.0,0.0,-0.010541945695877075
1.21,0.0,0.0,-0.011598542332649231
1.22,0.0,0.0,-0.011001050472259521
1.23,0.0,0.0,-0.010862931609153748
1.24,0.0,0.0,-0.010334506630897522
1.25,0.0,0.0,-0.010202571749687195
1.26,0.0,0.0,-0.009766340255737305
1.27,0.0,0.0,-0.009992614388465881
1.28,0.0,0.0,-0.010002747178077698
1.29,0.0,0.0,-0.009926944971084595
1.3,0.0,0.0,-0.010348275303840637
1.31,0.0,0.0,-0.010106697678565979
1.32,0.0,0.0,-0.009960025548934937
1.33,0.0,0.0,-0.010457471013069153
1.34,0.0,0.0,-0.008987754583358765
1.35,0.0,0.0,-0.011356368660926819
1.36,0.0,0.0,-0.010424301028251648
1.37,0.0,0.0,-0.010137319564819336
1.38,0.0,0.0,-0.010510578751564026
1.39,0.0,0.0,-0.010540470480918884
1.4,0.0,0.0,-0.011061817407608032
1.41,0.0,0.0,-0.010955184698104858
1.42,0.0,0.0,-0.010395005345344543
1.43,0.0,0.0,-0.011605903506278992
1.44,0.0,0.0,-0.01163528859615326
1.45,0.0,0.0,-0.011705294251441956
1.46,0.0,0.0,-0.011634424328804016
1.47,0.0,0.0,-0.011989444494247437
1.48,0.0,0.0,-0.011208772659301758
1.49,0.0,0.0,-0.012288615107536316
1.5,0.0,0.0,-0.011722952127456665
1.51,0.0,0.0,-0.012156784534454346
1.52,0.0,0.0,-0.011990264058113098
1.53,0.0,0.00102,-0.011938586831092834
1.54,0.0,0.00116,-0.012012258172035217
1.55,0.0,0.00129,-0.01227608323097229
1.56,0.0,0.00142,-0.011375516653060913
1.57,0.0,0.00156,-0.012208640575408936
1.58,0.0,0.00168,-0.012027695775032043
1.59,0.0,0.0018,-0.011945992708206177
1.6,0.0,0.00191,-0.011848852038383484
1.61,0.0,0.002,-0.01128523051738739
1.62,0.0,0.00208,-0.011733368039131165
1.63,0.0,0.00213,-0.011708229780197144
1.64,0.0,0.00217,-0.011663511395454407
1.65,0.0,0.00219,-0.011516541242599487
1.66,0.0,0.00218,-0.011453509330749512
1.67,0.0,0.00214,-0.01156046986579895
1.68,0.0,0.00207,-0.01137782633304596
1.69,0.0,0.00197,-0.011150017380714417
1.7,0.0,0.00185,-0.011328279972076416
1.71,0.0,0.00168,-0.011307373642921448
1.72,0.0,0.00149,-0.011145874857902527
1.73,0.0,0.00126,-0.010929107666015625
1.74,0.0,0.00101,-0.011146530508995056
1.75,0.0,0.0,-0.010958656668663025
1.76,0.0,0.0,-0.010715201497077942
1.77,0.0,0.0,-0.01091437041759491
1.78,0.0,0.0,-0.01096867024898529
1.79,0.0,0.0,-0.010934725403785706
1.8,0.0,0.0,-0.010987788438796997
1.81,0.0,0.0,-0.011038601398468018
1.82,0.0,0.0,-0.011047616600990295
1.83,0.0,0.0,-0.011158004403114319
1.84,0.0,0.0,-0.011220946907997131
1.85,0.0,0.0,-0.011240735650062561
1.86,0.0,0.0,-0.011385813355445862
1.87,0.0,0.0,-0.011573776602745056
1.88,0.0,0.0,-0.011768534779548645
1.89,0.0,0.0,-0.011673763394355774
1.9,0.0,0.0,-0.011888206005096436
1.91,0.0,0.0,-0.012177661061286926
1.92,0.0,0.0,-0.012140467762947083
1.93,0.0,0.0,-0.012149080634117126
1.94,0.0,0.0,-0.012207403779029846
1.95,0.0,0.0,-0.012055888772010803
1.96,0.0,0.0,-0.011298134922981262
1.97,0.0,0.0,-0.009540483355522156
1.98,0.0,0.0,-0.00932435691356659
1.99,0.0,0.0,-0.007422938942909241
2.0,0.0,0.0,-0.005320519208908081
2.01,0.0,0.0,-0.003523781895637512
2.02,0.0,0.0,-0.0013364404439926147
2.03,0.0,0.0,0.0025181323289871216
2.04,0.0,0.0,0.005099102854728699
2.05,0.0,0.0,0.006997793912887573
2.06,0.0,0.0,0.008997708559036255
2.07,0.0,0.0,0.008509159088134766
2.08,0.0,0.0,0.006928488612174988
2.09,0.0,0.0,0.0047875940799713135
2.1,0.0,0.0,0.0005211159586906433
2.11,0.0,0.0,-0.0024515539407730103
2.12,0.0,0.0,-0.004852607846260071
2.13,0.0,0.0,-0.007872149348258972
2.14,0.0,0.0,-0.011522665619850159
2.15,0.0,0.0,-0.016805067658424377
2.16,0.0,0.0,-0.021883979439735413
2.17,0.0,0.00116,-0.028054282069206238
2.18,0.0,0.00164,-0.03360597789287567
2.19,0.0,0.00208,-0.038943275809288025
2.2,0.0,0.00249,-0.04287205636501312
2.21,0.0,0.00286,-0.045398369431495667
2.22,0.0,0.00318,-0.04472315311431885
2.23,0.0,0.00346,-0.04176962375640869
2.24,0.0,0.00368,-0.037677958607673645
2.25,0.0,0.00385,-0.03359426558017731
2.26,0.0,0.00394,-0.028511568903923035
2.27,0.0,0.00402,-0.024072229862213135
2.28,0.0,0.00403,-0.018973633646965027
2.29,0.0,0.00398,-0.014354631304740906
2.3,0.0,0.0039,-0.01060493290424347
2.31,0.0,0.00373,-0.007769525051116943
2.32,0.0,0.00354,-0.005680158734321594
2.33,0.0,0.00331,-0.0050658732652664185
2.34,0.0,0.00304,-0.004923030734062195
2.35,0.0099,0.00273,-0.004391327500343323
2.36,0.01044,0.0024,-0.0056321024894714355
2.37,0.01081,0.00204,-0.005498573184013367
2.38,0.01109,0.00167,-0.00632670521736145
2.39,0.0113,0.00128,-0.0074674636125564575
2.4,0.01141,0.0,-0.00799529254436493
2.41,0.01145,0.0,-0.008798137307167053
2.42,0.01139,0.0,-0.010339304804801941
2.43,0.01125,0.0,-0.01244710385799408
2.44,0.01102,0.0,-0.014435365796089172
2.45,0.01071,0.0,-0.01644808053970337
2.46,0.01032,0.0,-0.01715897023677826
2.47,0.0,0.0,-0.017847970128059387
2.48,0.0,0.0,-0.018476828932762146
2.49,0.0,0.0,-0.01754872500896454
2.5,0.0,0.0,-0.015889406204223633
2.51,0.0,0.0,-0.015618458390235901
2.52,0.0,0.0,-0.013857230544090271
2.53,0.0,0.0,-0.013202488422393799
2.54,0.0,0.0,-0.013453155755996704
2.55,0.0,0.0,-0.013702943921089172
2.56,0.0,0.0,-0.015139967203140259
2.57,0.0,0.0,-0.01702423393726349
2.58,0.0,0.0,-0.020056888461112976
2.59,0.0,0.0,-0.02283482253551483
2.6,0.0,0.0,-0.024633154273033142
2.61,0.0,0.0,-0.02495153248310089
2.62,0.0,0.0,-0.026109501719474792
2.63,0.0,0.0,-0.025441423058509827
2.64,0.0,0.0,-0.02411733567714691
2.65,0.0,0.0,-0.02242274582386017
2.66,0.0,0.0,-0.020793870091438293
2.67,0.0,0.0,-0.01843583583831787
2.68,0.0,0.0,-0.01803341507911682
2.69,0.0,0.0,-0.01737530529499054
2.7,0.0,0.0,-0.018398091197013855
2.71,0.0,0.0,-0.020163312554359436
2.72,0.0,0.0,-0.022757232189178467
2.73,0.0,0.0,-0.025925204157829285
2.74,0.0,0.0,-0.02836783230304718
2.75,0.0,0.0,-0.02939741313457489
2.76,0.0,0.0,-0.02930031716823578
2.77,0.0,0.0,-0.028395965695381165
2.78,0.0,0.0,-0.026421070098876953
2.79,0.0,0.0,-0.02480831742286682
2.8,0.0,0.0,-0.022687718272209167
2.81,0.0,0.0,-0.01959674060344696
2.82,0.0,0.0,-0.016475945711135864
2.83,0.0,0.0,-0.012868046760559082
2.84,0.0,0.0,-0.009421974420547485
2.85,0.0,0.0,-0.006525874137878418
2.86,0.0,0.0,-0.004265338182449341
2.87,0.0,0.0,-0.002171151340007782
2.88,0.0,0.0,-0.0008918046951293945
2.89,0.0,0.0,0.00027057528495788574
2.9,0.0,0.0,0.0010354593396186829
2.91,0.0,0.0,0.0013517215847969055
2.92,0.0,0.0,0.0021600648760795593
2.93,0.0,0.0,0.0022805258631706238
2.94,0.0,0.0,0.0027374476194381714
2.95,0.0,0.0,0.0026082322001457214
2.96,0.0,0.0,0.0031806305050849915
2.97,0.0,0.0,0.003145255148410797
2.98,0.0,0.0,0.0034917518496513367
2.99,0.01107,0.0,0.0037589967250823975
3.0,0.01222,0.0,0.004254840314388275
3.01,0.01314,0.0,0.004140079021453857
3.02,0.01452,0.0,0.004563324153423309
3.03,0.01543,0.0,0.004632152616977692
3.04,0.01683,0.0,0.004835069179534912
3.05,0.01777,0.0,0.004832416772842407
3.06,0.01922,0.0,0.005270577967166901
