time,veh_u,veh_v,model_T_lon_1560.pt
0.0,0.02873,0.0,-0.0925615131855011
0.01,0.02754,0.0,-0.0925615131855011
0.02,0.02624,0.0,-0.0925615131855011
0.03,0.02485,0.0,-0.0925615131855011
0.04,0.02337,0.0,-0.0925615131855011
0.05,0.0218,0.0,-0.0925615131855011
0.06,0.02015,0.0,-0.0925615131855011
0.07,0.01842,0.0,-0.0925615131855011
0.08,0.01664,0.0,-0.0925615131855011
0.09,0.0148,0.0,-0.0925615131855011
0.1,0.01292,0.0,-0.0925615131855011
0.11,0.01101,0.0,-0.0925615131855011
0.12,0.0,0.0,-0.0925615131855011
0.13,0.0,0.0,-0.0925615131855011
0.14,0.0,0.0,-0.0925615131855011
0.15,0.0,0.0,-0.0925615131855011
0.16,0.0,0.0,-0.0925615131855011
0.17,0.0,0.0,-0.0925615131855011
0.18,0.0,0.0,-0.0925615131855011
0.19,0.0,0.0,-0.0925615131855011
0.2,0.0,0.0,-0.0925615131855011
0.21,0.0,0.0,-0.0925615131855011
0.22,0.0,0.0,-0.0925615131855011
0.23,0.0,0.0,-0.0925615131855011
0.24,0.0,0.0,-0.0925615131855011
0.25,0.0,0.0,-0.0925615131855011
0.26,0.0,0.00114,-0.0925615131855011
0.27,0.0,0.00124,-0.0925615131855011
0.28,0.0,0.00128,-0.0925615131855011
0.29,0.0,0.00127,-0.0925615131855011
0.3,0.0,0.00121,-0.0925615131855011
0.31,0.0,0.00112,-0.0925615131855011
0.32,0.0,0.0,-0.0925615131855011
0.33,0.0,0.0,-0.0925615131855011
0.34,0.0,0.0,-0.0925615131855011
0.35,0.0,0.0,-0.0925615131855011
0.36,0.0,0.0,-0.0925615131855011
0.37,0.0,0.0,-0.0925615131855011
0.38,0.0,0.0,-0.0925615131855011
0.39,0.0,0.0,-0.0925615131855011
0.4,0.0,0.0,-0.0925615131855011
0.41,0.0,0.0,-0.0925615131855011
0.42,0.0,0.0,-0.0925615131855011
0.43,0.0,0.0,-0.0925615131855011
0.44,0.0,0.0,-0.0925615131855011
0.45,0.0,0.0,-0.0925615131855011
0.46,0.0,0.0,-0.0925615131855011
0.47,0.0,0.0,-0.0925615131855011
0.48,0.0,0.0,-0.0925615131855011
0.49,0.0,0.0,-0.0925615131855011
0.5,0.0,0.0,-0.0925615131855011
0.51,0.0,0.0,-0.0925615131855011
0.52,0.0,0.0,-0.0925615131855011
0.53,0.0,0.0,-0.0925615131855011
0.54,0.0,0.0,-0.0925615131855011
0.55,0.0,0.0,-0.0925615131855011
0.56,0.0,0.0,-0.0925615131855011
0.57,0.0,0.0,-0.0925615131855011
0.58,0.0,0.0,-0.0925615131855011
0.59,0.0,0.0,-0.0925615131855011
0.6,0.0,0.0,-0.0925615131855011
0.61,0.0,0.0,-0.0925615131855011
0.62,0.0,0.0,-0.0925615131855011
0.63,0.0,0.0,-0.0925615131855011
0.64,0.0,0.0,-0.0925615131855011
0.65,0.0,0.0,-0.0925615131855011
0.66,0.0,0.00118,-0.0925615131855011
0.67,0.0,0.00162,-0.0925615131855011
0.68,0.0,0.00204,-0.0925615131855011
0.69,0.0,0.00237,-0.0925615131855011
0.7,0.0,0.00277,-0.0925615131855011
0.71,0.0,0.00321,-0.0925615131855011
0.72,0.0,0.00354,-0.0925615131855011
0.73,0.0,0.00384,-0.0925615131855011
0.74,0.0,0.00409,-0.0925615131855011
0.75,0.0,0.00429,-0.0925615131855011
0.76,0.0,0.00445,-0.0925615131855011
0.77,0.0,0.00455,-0.0925615131855011
0.78,0.0,0.00459,-0.0925615131855011
0.79,0.0,0.00457,-0.0925615131855011
0.8,0.0,0.00448,-0.0925615131855011
0.81,0.0,0.00433,-0.0925615131855011
0.82,0.0,0.00416,-0.0925615131855011
0.83,0.0,0.0039,-0.0925615131855011
0.84,0.0,0.00349,-0.0925615131855011
0.85,0.0,0.00309,-0.0925615131855011
0.86,0.0,0.00263,-0.0925615131855011
0.87,0.0,0.00211,-0.0925615131855011
0.88,0.0,0.00154,-0.0925615131855011
0.89,0.0,0.0,-0.0925615131855011
0.9,0.0,0.0,-0.0925615131855011
0.91,0.0,0.0,-0.0925615131855011
0.92,0.0,0.0,-0.0925615131855011
0.93,0.0,0.0,-0.0925615131855011
0.94,0.0,0.0,-0.0925615131855011
0.95,0.0,0.0,-0.0925615131855011
0.96,0.0,0.0,-0.0925615131855011
0.97,0.0,0.0,-0.0925615131855011
0.98,0.0,0.0,-0.0925615131855011
0.99,0.0,0.0,-0.0925615131855011
1.0,0.0,0.0,-0.0925615131855011
1.01,0.0,0.0,-0.0925615131855011
1.02,0.0,0.0,-0.0925615131855011
1.03,0.0,0.0,-0.0925615131855011
1.04,0.0,0.0,-0.0925615131855011
1.05,0.0,0.0,-0.0925615131855011
1.06,0.0,0.0,-0.0925615131855011
1.07,0.0,0.0,-0.0925615131855011
1.08,0.0,0.0,-0.0925615131855011
1.09,0.0,0.0,-0.0925615131855011
1.1,0.0,0.0,-0.09260743856430054
1.11,0.0,0.0,-0.09263920783996582
1.12,0.0,0.0,-0.09268337488174438
1.13,0.0,0.0,-0.09271016716957092
1.14,0.0,0.0,-0.09273231029510498
1.15,0.0,0.0,-0.09273830056190491
1.16,0.0,0.0,-0.09277045726776123
1.17,0.0,0.0,-0.09272366762161255
1.18,0.0,0.0,-0.0927683413028717
1.19,0.0,0.0,-0.09273961186408997
1.2,0.0,0.0,-0.09278455376625061
1.21,0.0,0.0,-0.09264025092124939
1.22,0.0,0.0,-0.09269958734512329
1.23,0.0,0.0,-0.09266746044158936
1.24,0.0,0.0,-0.09251183271408081
1.25,0.0,0.0,-0.09252426028251648
1.26,0.0,0.0,-0.09254264831542969
1.27,0.0,0.00168,-0.09251701831817627
1.28,0.0,0.00234,-0.09249722957611084
1.29,0.0,0.00296,-0.09245800971984863
1.3,0.0,0.00353,-0.09239804744720459
1.31,0.0,0.00404,-0.09237310290336609
1.32,0.0,0.00449,-0.0922892689704895
1.33,0.0,0.00488,-0.09242725372314453
1.34,0.0,0.0052,-0.09237480163574219
1.35,0.0,0.00545,-0.0922938883304596
1.36,0.0,0.00563,-0.09226351976394653
1.37,0.0,0.00574,-0.09225985407829285
1.38,0.0,0.00578,-0.09213927388191223
1.39,0.0,0.00577,-0.09223735332489014
1.4,0.0,0.0057,-0.0922187864780426
1.41,0.0,0.00553,-0.09225982427597046
1.42,0.0,0.00532,-0.09223994612693787
1.43,0.0,0.00506,-0.09226462244987488
1.44,0.0,0.00476,-0.09232455492019653
1.45,0.0,0.00441,-0.09218847751617432
