time,veh_u,veh_v,best_wheel,model_based,ekf_m_bw,veh_ref,ekf_ai
0 sec,0.0047,0,0,-0.758278145695364,-1.51655489381841e-14,0,0.0119268736598101
0.01 sec,0.00433,0,0,-0.758278145695364,1.74604902612873e-20,0,0.00937530012125152
0.02 sec,0.00397,0,0,-0.758278145695364,3.11174489696909e-20,0,0.0039336936609757
0.03 sec,0.00362,0,0,-0.758278145695364,5.77656410897578e-20,0,0.000111695004837513
0.04 sec,0.00327,0,-0.001684,-0.758278145695364,-0.0016839999998316,0,-0.00564962970009168
0.05 sec,0.00294,0,-0.001684,-0.758278145695364,-0.00168399999957621,0,-0.00702760165720754
0.06 sec,0.00263,0,0,-0.758278145695364,2.5538859221852e-13,0,-0.0094488277733187
0.07 sec,0.00233,0,0,-0.758278145695364,1.70903786359581e-18,0,-0.00951211209772942
0.08 sec,0.00204,0,0,-0.758278145695364,5.12154501090372e-18,0,-0.0114230300778426
0.09 sec,0.00178,0,0,-0.758278145695364,1.6198340445936e-17,0,-0.0114104928309049
0.1 sec,0.00153,0,0,-0.758278145695364,5.27141425603057e-17,0,-0.0114478928709192
0.11 sec,0.00131,0,0,-0.758278137417219,1.12417365726643e-15,0,-0.0113146085684553
0.12 sec,0.00111,0,0,-0.75827811427046,-2.51709053990593e-15,0,-0.011596891794955
0.13 sec,0.00093,0,0,-0.7582780984273,1.0191785024434e-14,0,-0.0114397341836778
0.14 sec,0.00077,0,0,-0.758278042225989,-2.10502730697837e-14,0,-0.0112478517236712
0.15 sec,0.00063,0,0,-0.758278045221223,5.40436835907987e-14,0,-0.0110650166080721
0.16 sec,0.00052,0,0,-0.758277904242165,-1.11145034148441e-13,0,-0.0100185524629095
0.17 sec,0.00043,0,0,-0.758278049107739,1.07350543385176e-13,0,-0.00983741669407473
0.18 sec,0.00037,0,0,-0.758277587057686,-1.75414153688602e-13,0,-0.00993305495354927
0.19 sec,0.00033,0,0,-0.758278349696727,1.45985870961263e-13,0,-0.00979118720513281
0.2 sec,0.0003,0,0,-0.758276609578326,-2.11647973452633e-13,0,-0.00852493018814278
0.21 sec,0.0003,0,-0.00170926,-0.75827987625452,-0.00170925999965095,0,-0.00792749415754086
0.22 sec,0.00032,0,0,-0.758273155196128,1.57487412867641e-14,0,-0.00817131772675217
0.23 sec,0.00036,0,0,-0.75828609604209,2.07353231806984e-13,0,-0.00806769462016159
0.24 sec,0.00041,0,-0.00170084,-0.758260466569363,-0.00170084000010143,0,-0.00702086127897985
0.25 sec,0.00049,0,-0.00167558,-0.758309835056322,-0.00167557999933909,0,-0.00693628545494755
0.26 sec,0.00057,0,0,-0.758211686879865,-4.66298549252342e-14,0,-0.00718841509963241
0.27 sec,0.00067,0,0,-0.75840093694324,2.64604310684646e-13,0,-0.00711484811676731
0.28 sec,0.00078,0,-0.00170926,-0.758003499781834,-0.00170926000015666,0,-0.00688909538696843
0.29 sec,0.0009,0,-0.00170084,-0.758822214237672,-0.00170083999928155,0,-0.00678150372669648
0.3 sec,0.00103,0,0,-0.756977397837236,-9.41944005433681e-14,0,-0.00719909850970773
0.31 sec,0.00117,0,0,-0.513338015667478,3.13664892670484e-13,0,-0.00725327500731228
0.32 sec,0.0013,0,0,-0.489746357015889,-3.76645763189298e-13,0,-0.00743881702576333
0.33 sec,0.00144,0,0,-0.490471284826716,3.3938260188271e-13,0,-0.00744874137778619
0.34 sec,0.00158,0,0,-0.492032010389955,-4.02348293571109e-13,0,-0.00754741678616637
0.35 sec,0.00169,0,0,-0.490181457551775,3.60414822986321e-13,0,-0.00761380716578218
0.36 sec,0.00184,0,0,-0.492109648558325,-4.22207407924091e-13,0,-0.00773261452837484
0.37 sec,0.00196,0,0,-0.49012927278886,3.82611910904052e-13,0,-0.00755880692397262
0.38 sec,0.00207,0,0,-0.49216584146424,-4.42064787553598e-13,0,-0.00774426446064685
0.39 sec,0.00217,0,0,-0.490078849965413,4.03639795198973e-13,0,-0.00781623556901531
0.4 sec,0.00224,0,0,-0.492219426850384,-4.64257972343507e-13,0,-0.00801911676066091
0.41 sec,0.00229,0,-0.00167557999999999,-0.490023302901115,-0.0016755799994101,0,-0.00774069349187866
0.42 sec,0.00234,0,0,-0.492268252642551,-2.30006118318027e-13,0,-0.00825709581922635
0.43 sec,0.00235,0,0,-0.489973623576193,4.43319859988467e-13,0,-0.00830794139363117
0.44 sec,0.00234,0,0,-0.492321744787632,-5.02793987000594e-13,0,-0.00829341350523878
0.45 sec,0.0023,0,0,-0.489926082079691,4.608717921184e-13,0,-0.0082769121730336
0.46 sec,0.00222,0,0,-0.492367045959208,-5.20322500363601e-13,0,-0.00844340091667806
0.47 sec,0.00214,0,-0.00167557999999999,-0.489882014888321,-0.0016755799993552,0,-0.0081375015662894
0.48 sec,0.00197,0,0,-0.492409344084166,-2.83737443262932e-13,0,-0.00839941103868683
0.49 sec,0.00179,0,0,-0.489838347829696,4.97054654380324e-13,0,-0.00838136621086084
0.5 sec,0.00157,0,-0.001684,-0.492459567093635,-0.00168400000038696,0,-0.00813086970337634
0.51 sec,0.00132,0,0,-0.489793823025196,7.68826842467707e-13,0,-0.00859689943563875
0.52 sec,0.00103,0,0,-0.492501917000469,-5.71729295850698e-13,0,-0.00849912855530464
0.53 sec,0.00069,0,0,-0.489752763672219,5.29815774585884e-13,0,-0.00851791861212206
0.54 sec,0.00032,0,-0.00167558,-0.492543875862712,-0.00167558000041935,0,-0.00820126657670921
0.55 sec,0,0,-0.001684,-0.489714389065867,-0.00168399999903249,0,-0.00819538560251011
0.56 sec,0,0,-0.00170926,-0.492582908722942,-0.00170926000017579,0,-0.00808328055535394
0.57 sec,0,0,-0.00170083999999998,-0.489676255371059,-0.00170083999901287,0,-0.00811824014245619
0.58 sec,0,0,0,-0.492616597718678,-3.58173560255359e-13,0,-0.00861439015837425
0.59 sec,0,0,0,-0.489641423221365,5.74155306631852e-13,0,-0.00857471391419098
0.6 sec,0,0,0,-0.49265796027284,-6.3245155640379e-13,0,-0.00851711695185565
0.61 sec,0,0,0,-0.489600518322573,5.90546708756357e-13,0,-0.00853643507133531
0.62 sec,0,0,0,-0.492699959348349,-6.47643397244657e-13,0,-0.00859513771474126
0.63 sec,0,0,0,-0.489562161376641,6.04575417506581e-13,0,-0.00855031063121935
0.64 sec,0,0,0,-0.492736397376369,-6.62830901276834e-13,0,-0.00857298008164336
0.65 sec,0,0,0,-0.48952440272167,6.1976639098571e-13,0,-0.00857315491204611
0.66 sec,0,0,0,-0.49277539478889,-6.76848334324465e-13,0,-0.00870161949674839
0.67 sec,0,0,-0.00167558,-0.489489030555638,-0.00167557999919865,0,-0.00819209210252431
0.68 sec,0,0,0,-0.492811494370092,-4.36760003164061e-13,0,-0.00868695550633986
0.69 sec,0,0,0,-0.489453882728322,6.45418614386717e-13,0,-0.00874192522061001
0.7 sec,0,0,0,-0.492842205716205,-7.02537854280205e-13,0,-0.00887165465799233
0.71 sec,0,0,0,-0.489424714656235,6.60644282335365e-13,0,-0.00879526758203655
0.72 sec,0,0,0,-0.492880339391575,-7.17729695121072e-13,0,-0.0088427414896182
0.73 sec,0,0,0,-0.489386759157528,6.73506389547995e-13,0,-0.0089263762393974
0.74 sec,0,0,0,-0.492914068016521,-7.30580526631108e-13,0,-0.00908273836866326
0.75 sec,0,0,0,-0.489354615917013,6.87529026766054e-13,0,-0.00902235423688954
0.76 sec,0,0,0,-0.492949860024455,-7.44597959678739e-13,0,-0.00903544627603352
0.77 sec,0,0,0,-0.489319576501004,7.00381592999566e-13,0,-0.00919180253467076
0.78 sec,0,0,0,-0.492983246369723,-7.56279587565967e-13,0,-0.00927123446783908
0.79 sec,0,0,0,-0.489290111914803,7.1323329187134e-13,0,-0.00921197281026433
0.8 sec,0,0,0,-0.493016117984652,-7.70297020613597e-13,0,-0.00925677784438548
0.81 sec,0,0,0,-0.489255378907124,7.26085858104852e-13,0,-0.00939043042933332
0.82 sec,0,0,-1.8976598070708e-17,-0.493049445183202,-7.8082939419799e-13,0,-0.00939725030436761
0.83 sec,0,0,-0.00170926,-0.489228519660385,-0.00170925999909247,0,-0.00888917368378271
0.84 sec,0,0,-0.00167558,-0.493076710479401,-0.00167558000036689,0,-0.008945163910021
0.85 sec,0,0,0,-0.48919706053476,1.00466510111197e-12,0,-0.00946603918234752
0.86 sec,0,0,0,-0.493112434527172,-8.06512842621565e-13,0,-0.00944287243075112
0.87 sec,0,0,0,-0.489164697008975,7.62299078027606e-13,0,-0.00940861813919156
0.88 sec,0,0,-0.00170084,-0.493142876930715,-0.00170084000064694,0,-0.00894729877256095
0.89 sec,0,0,-0.00170084,-0.489138100239398,-0.00170083999880033,0,-0.00901122029242412
0.9 sec,0,0,-0.00170084,-0.493167399137258,-0.00170084000039953,0,-0.00894710133263387
0.91 sec,0,0,0,-0.489112175765616,1.04121745947428e-12,0,-0.0093986745972283
0.92 sec,0,0,0,-0.493197197112665,-8.39221053761108e-13,0,-0.00931756440851875
0.93 sec,0,0,0,-0.489083078577956,7.95015095422791e-13,0,-0.00946422492696472
0.94 sec,0,0,0,-0.493227252940151,-8.48562539679243e-13,0,-0.00933250818683935
0.95 sec,0,0,0,-0.489059156995066,8.03197786058973e-13,0,-0.00942382148509384
0.96 sec,0,0,0,-0.493248904053541,-8.60242432842995e-13,0,-0.00940809712576474
0.97 sec,0,0,0,-0.489030914444663,8.16052087015962e-13,0,-0.00970963248436398
0.98 sec,0,0,0,-0.493281577028968,-8.7075659183089e-13,0,-0.00942949003743119
0.99 sec,0.00109,0,0,-0.489004130721546,8.25400511828001e-13,0,-0.00962580926157368
1 sec,0.00208,0,0,-0.493306102598333,-8.80101547195977e-13,0,-0.00945189139482332
1.01 sec,0.00304,0,0,-0.488980811511962,8.34747201916564e-13,0,-0.00968144680057368
1.02 sec,0.00397,0,0,-0.49333025222108,-8.8944823728454e-13,0,-0.00958868618946478
1.03 sec,0.00487,0,0,-0.488957532943228,8.44095626728603e-13,0,-0.00961462149910654
1.04 sec,0.00571,0,0,-0.493354455633419,-8.9996066154896e-13,0,-0.00954151957349997
1.05 sec,0.00651,0,0,-0.488931588684278,8.53442316817166e-13,0,-0.00952438689783795
1.06 sec,0.00724,0,0,-0.493378856163157,-9.08138148014714e-13,0,-0.00957873100988997
1.07 sec,0.00791,0,0,-0.488910961867855,8.62790741629205e-13,0,-0.00953356501241483
1.08 sec,0.00851,0,0,-0.493402721976036,-9.17483103379801e-13,0,-0.00950964918670947
1.09 sec,0.00903,0,0,-0.488887726234857,8.72137431717768e-13,0,-0.0095638422793222
1.1 sec,0.00948,0,0,-0.49342688389196,-9.26828058744888e-13,0,-0.00957139817981476
1.11 sec,0.00985,0,0,-0.488864467237819,8.81485856529807e-13,0,-0.00959821202379266
1.12 sec,0.01015,0,-0.001684,-0.493451053379052,-0.00168400000076777,0,-0.00902333279538237
1.13 sec,0.01032,0,-0.00170084,-0.488841161832762,-0.00170083999868487,0,-0.00905438933028319
1.14 sec,0.01047,0,-0.00170084,-0.493472533873112,-0.00170084000051635,0,-0.0091122403529765
1.15 sec,0.01054,0,-0.00170083999999996,-0.488820786586423,-0.00170083999867417,0,-0.00905894186098825
1.16 sec,0.01053,0,0,-0.49349369272023,-6.94604096462825e-13,0,-0.00949719575698582
1.17 sec,0.01044,0,0,-0.488800549800684,9.08280395339744e-13,0,-0.00944322491933345
1.18 sec,0.01028,0,-0.00170084,-0.493520184379906,-0.00170084000079178,0,-0.00897907036838027
1.19 sec,0.01006,0,0,-0.488777033154652,1.1744511613232e-12,0,-0.00957162618051301
1.2 sec,0.00977,0,0,-0.493541700467008,-9.70064306660134e-13,0,-0.0095241337589417
1.21 sec,0.00944,0,0,-0.488756615144414,9.23552900822244e-13,0,-0.00952695673985293
1.22 sec,0.00906,0,0,-0.493560232595441,-9.78229650061557e-13,0,-0.00963640283648088
1.23 sec,0.00863,0,0,-0.488736540489482,9.31730387287999e-13,0,-0.00971383302760403
1.24 sec,0.00817,0,0,-0.493581375943884,-9.86405401803836e-13,0,-0.0096858495941393
1.25 sec,0.00769,0,0,-0.488716271391224,9.41078812100038e-13,0,-0.00968191600425428
1.26 sec,0.00718,0,0,-0.493605187278546,-9.94582888269591e-13,0,-0.00965804492280442
1.27 sec,0.00665,0,0,-0.488695696455895,9.49258033289269e-13,0,-0.00970144551886912
1.28 sec,0.00612,0,0,-0.493626333151331,-1.00159290583601e-12,0,-0.00970559382306432
1.29 sec,0.00558,0,0,-0.488677994461894,9.56268050855691e-13,0,-0.00972547937867792
1.3 sec,0.00504,0,0,-0.493644576675369,-1.00977039230177e-12,0,-0.009701575445533
1.31 sec,0.00452,0,0,-0.488657907627411,9.63279803145589e-13,0,-0.00976594049352883
1.32 sec,0.00401,0,0,-0.493663093568556,-1.01794787876752e-12,0,-0.00978421106716085
1.33 sec,0.00351,0,0,-0.488637797012371,9.70291555435487e-13,0,-0.00986540607167983
1.34 sec,0.00304,0,0,-0.493681557325457,-1.02495616161047e-12,0,-0.00977730445009573
1.35 sec,0.00259,0,0,-0.488620417199411,9.78472511348194e-13,0,-0.00981564894953654
1.36 sec,0.00217,0,0,-0.493702420672805,-1.03313364807622e-12,0,-0.00980588284046911
1.37 sec,0.00179,0,0,-0.488600200425055,9.87819201436757e-13,0,-0.00988907575962521
1.38 sec,0.00149999999999999,0,-3.79531961414159e-17,-0.493726187461181,-1.04018182955912e-12,0,-0.00988052607368555
1.39 sec,0.00116999999999999,0,-0.00170926,-0.488582263704473,-0.00170925999883424,0,-0.00932570086225257
1.4 sec,0.000879999999999993,0,-0.00170083999999996,-0.49374447439214,-0.00170084000061899,0,-0.00933414440382841
1.41 sec,0.00058,0,0,-0.488562246269439,1.26085947238508e-12,0,-0.00978259942670687
1.42 sec,0.00038,0,-0.00170084,-0.493765583328928,-0.00170084000088526,0,-0.00915364712304702
1.43 sec,0.0002,0,0,-0.488544513251373,1.26676967526773e-12,0,-0.00954456891861533
1.44 sec,0,0,0,-0.493781089449195,-1.06118759612972e-12,0,-0.00949149439925204
1.45 sec,0,0,0,-0.488529986394046,1.01470047642049e-12,0,-0.00968285530972995
1.46 sec,0,0,-0.00170084,-0.493796239568089,-0.00170084000089693,0,-0.00937575353122509
1.47 sec,0,0,0,-0.488515436443401,1.27729944676691e-12,0,-0.00999225987051776
1.48 sec,0,0,0,-0.493808689797975,-1.07170175511762e-12,0,-0.00976109130292136
1.49 sec,0,0,0,-0.488503754703664,1.02288490178015e-12,0,-0.00982201391994379
1.5 sec,0,0,-0.00170084,-0.493818114344213,-0.00170084000090511,0,-0.0093818941780733
1.51 sec,0,0,0,-0.488495029958697,1.28431293378028e-12,0,-0.00988360354152129
1.52 sec,0,0,0,-0.493827208110709,-1.07871177268404e-12,0,-0.00980030092006786
1.53 sec,0.0001,0,0,-0.48848627806589,1.02872918517072e-12,0,-0.00976913810261245
1.54 sec,0.0002,0,0,-0.493833600558967,-1.08103283269489e-12,0,-0.0098160248667758
1.55 sec,0.00032,0,0,-0.488480511116629,1.03222812242176e-12,0,-0.00978483646460923
1.56 sec,0.00044,0,0,-0.493842363789155,-1.08453697411637e-12,0,-0.00961955892326846
